Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, annual crop, NP",,5.02932576,m2a,,5.03E-15,m2a
Raw,(unspecified),"Occupation, annual crop, NR",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, NU",,5.24454923,m2a,,5.24E-13,m2a
Raw,(unspecified),"Occupation, annual crop, NZ",,8.60758156,m2a,,8.61E-15,m2a
Raw,(unspecified),"Occupation, annual crop, OM",,3.97237291,m2a,,3.97E-16,m2a
Raw,(unspecified),"Occupation, annual crop, organic",,2.44503832,m2a,,2.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, PA",,4.58125726,m2a,,4.58E-14,m2a
Raw,(unspecified),"Occupation, annual crop, PE",,8.45371647,m2a,,8.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, PF",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, PG",,2.21469955,m2a,,2.21E-14,m2a
Raw,(unspecified),"Occupation, annual crop, PH",,3.64585898,m2a,,3.65E-14,m2a
Raw,(unspecified),"Occupation, annual crop, PK",,5.53392545,m2a,,5.53E-16,m2a
Raw,(unspecified),"Occupation, annual crop, PL",,2.55396159,m2a,,2.55E-16,m2a
Raw,(unspecified),"Occupation, annual crop, PM",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, annual crop, PR",,1.77533999,m2a,,1.78E-13,m2a
Raw,(unspecified),"Occupation, annual crop, PS",,3.28250826,m2a,,3.28E-15,m2a
Raw,(unspecified),"Occupation, annual crop, PT",,2.80332616,m2a,,2.80E-14,m2a
Raw,(unspecified),"Occupation, annual crop, PW",,3.96792561,m2a,,3.97E-13,m2a
Raw,(unspecified),"Occupation, annual crop, PY",,1.41316426,m2a,,1.41E-15,m2a
Raw,(unspecified),"Occupation, annual crop, QA",,8.57304779,m2a,,8.57E-17,m2a
Raw,(unspecified),"Occupation, annual crop, RAF",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RAS",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RE",,9.02588033,m2a,,9.03E-14,m2a
Raw,(unspecified),"Occupation, annual crop, reduced tillage",,2.44503832,m2a,,2.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RER",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RLA",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RNA",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, RO",,5.46858506,m2a,,5.47E-16,m2a
